dailyid,year,month,day,dayofweek,hour,minute,latitude,longitude,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type
ae35711d4633ac22bbe4d73b50d7d17295dc4a484286bfefb86c2434b5791a7726b981e58e7720d52ace7fb1df89c0d1,2019,10,1,2,0,0,36.323306,139.013083,Android,Japan,44020,Japan,,ja,,,,64.099,,,38.105,2,10,10202,5439308170,10,10202,13,13102,
ed1a55b9badbae37d84de32220d8c58ad96d2eabae41665754ca3892955698c46f6e378de32cd3032d1ee76499a7e3f0,2019,10,1,2,0,0,35.853785,139.982556,Android,Japan,44020,Japan,,ja,,,,7.82,,,,,12,12217,5339672846,12,12217,13,13108,
11d5c54c67a2e48293aeefc26fcea278ed021e6083798334df83dae40c47064e95d76719b633357879373f5aea1088e2,2019,10,1,2,0,0,36.078929,140.114750,Android,Japan,44010,Japan,,ja,,,,61.035,,,137.175,2,08,08220,5440009941,08,08220,12,12216,
78775cfefaf1db7dfdde0cdb19f5084d701e534249d97e9ddc0584f440f4cda7bc8e8283aa047d428398616ad132d685,2019,10,1,2,0,0,35.524932,139.459788,Android,Japan,44010,Japan,,ja,,,,899.999,,,,,13,13209,5339232697,14,14153,13,13108,
1addea33c43e45e63c120f44803d8ecb2f14731b538f3788ce3a208b65bdfa453fdf6e7378b6af5100341a7c9af95f18,2019,10,1,2,0,0,35.718394,140.142218,Android,Japan,44050,Japan,,ja,,,,14.928,,,75.963,2,12,12212,5340416123,12,12212,13,13108,
6c40fa00a5327a501446caadd52d41e8a2f3de19e9f249035bf267bd42b72a35b6cebaa3d59decd1834d2dd931fddce2,2019,10,1,2,0,0,35.801582,139.761358,Android,Japan,44020,Japan,,ja,,,,14.375,,,233.13,2,13,13121,5339566019,13,13121,13,13108,
ba1e78eca4e7213849b3a55ad83244941849c24e2f79d1b95260e4c3aa31890d3747b2bc36a1719eada63ab8e9ac31a6,2019,10,1,2,0,0,35.743855,139.540059,Android,Japan,44010,Japan,,ja,,,,9.946,,,,,13,13229,5339449322,13,13229,13,13108,
9e56f9a374339739e0b5b002b7c35ec4ddb3ff2c39f57cf917a27c2e86e80a29975f0256a8b63d08836218f5a4dffe46,2019,10,1,2,0,0,35.699559,139.986489,Android,Japan,44010,Japan,,ja,,,,14.449,,,137.943,2,12,12204,5339473899,13,13108,13,13108,
139f3da3d42b0803db661ce1807c80493fdb76e144950024645dc5a7fffe6cae22de12771ea1b931d44bce1c033b5665,2019,10,1,2,0,0,35.704516,139.904148,Android,Japan,44020,Japan,,ja,,,,20.784,0.06,2,323.972,2,13,13123,5339474253,13,13123,13,13108,
070c08556ab5d8453b285d13b9f56c94bdd6de4d520c3c23c48909fff7bdcaa7008db4dbf3f9e80360bd8d1ee779c7eb,2019,10,1,2,0,0,35.651816,139.665360,Android,Japan,44010,Japan,,ja,,,,14.734,,,,,13,13112,5339358322,13,13112,13,13108,
45eddc2a282a05239a3e9be4b7e54d3d06c2a49933407789f129e63f87628b809dfdec07a643869c7b526df71605500a,2019,10,1,2,0,0,35.898411,139.736659,Android,Japan,44010,Japan,,ja,,,,14.513,0.013,2,173.884,2,11,11110,5339657889,11,11110,13,13116,
52445ce2d6d251a99cc8c1d7d176375d688361540937179d10f22ece0195fe8b4fd3911070f01aa148ace40028f68b67,2019,10,1,2,0,0,35.729578,139.591430,Android,Japan,44010,Japan,,ja,,,,14.73,,,129.289,2,13,13120,5339447753,13,13120,13,13105,
048d177ce63003ddf62771355b2caa54821fabd17351699a223870eb8955e27fba5934b30ac6dc7774a814319ba1ec93,2019,10,1,2,0,0,35.680335,139.826100,Android,Japan,44010,Japan,,ja,,,,14.486,,,,,13,13108,5339461660,13,13108,13,13103,
73f4701c2bae545ab790d56afb1de5ca6c1648bf99437db2275a0bb46bc55f0b5cae811c7c0ff324e1142f8ca1838b65,2019,10,1,2,0,0,35.662993,139.897613,Android,Japan,44010,Japan,,ja,,,,18.224,,,,,12,12227,5339379158,12,12227,13,13108,
aacd94f3b200e294ba11c55746faa509397193dbecd7d3a8572b3b1239be913080acabe99029ff49f7d1c7c8f01fcffd,2019,10,1,2,0,0,35.729369,139.596233,Android,Japan,44051,Japan,,ja,,,,15.157,,,,,13,13120,5339447756,13,13120,13,13102,
fcfd1037332e83b321ad3e893994bcc6cc8e3b1ba654416f545eda83a1ca2bdb5943860c8c1a9fd4ce92e7a53eb62aa1,2019,10,1,2,0,0,35.667518,139.614858,Android,Japan,44010,Japan,,ja,,,,17.152,,,288.152,2,13,13112,5339440911,12,12204,13,13103,
bb76dbec87e5d10d662da1cc9a3acf73cb99871f74d12604876ffd41e9dda3df11504f6859e5106dec8dd219e7594fb7,2019,10,1,2,0,0,35.719113,139.646562,Android,Japan,44010,Japan,,ja,,,,14.05,,,5.71,2,13,13114,5339456127,13,13114,13,13108,
8f4371a2f0297f44bc2706b09b2092c0a81ed0f0b92e0191ddd043e06799b78f9139edef56d8cda30d8c612fc92d9fa4,2019,10,1,2,0,0,35.663871,139.899567,Android,Japan,44010,Japan,,ja,,,,20,0.721,2,135,2,12,12227,5339379169,12,12227,11,11107,
70624af2b99024e33d6f70d647ac5feec2d3920b58c2a335a62103da9f3afc83bdb90b7ae96690d765fc8257aa213c47,2019,10,1,2,0,0,35.791310,139.612578,Android,Japan,44010,Japan,,ja,,,,14.007,,,63.434,2,11,11229,5339544990,11,11229,13,13114,
2c96ae1d0d34925e4c11c3b556e41ca7552219c95db7cbfbf9d38cca6b021a931864c9a6f9f9192271003115f3e4b660,2019,10,1,2,0,0,35.668363,139.760585,Android,Japan,44010,Japan,,ja,,,,13.792,,,284.036,2,13,13102,5339460028,13,13108,13,13102,
bb314a98d77c16374f2b1d35323afcfbdfc530da0bc17ca4f7d7a3986ae1e08f56fc0c17086b3b1a78f9927d5036b591,2019,10,1,2,0,0,35.758763,139.647333,Android,Japan,44010,Japan,,ja,,,,19,,,,,13,13120,5339551107,13,13120,13,13108,
c3ac60160a449b9af4c654b3a44ef96dc9b92dd262fdea43ee26621938d167d78acbe304a08b36bbed0979ecf1d728c9,2019,10,1,2,0,0,35.449772,139.639173,Android,Japan,44010,Japan,,ja,,,,14.409,,,288.434,2,14,14104,5339153191,14,14104,13,13102,
34ed267459fcad046dfd716ffc50bdb7de3ac95bc994ab1998c28c7d7417b828ec62639819b9a87e40d9013342188789,2019,10,1,2,0,0,35.539924,139.628117,Android,Japan,44010,Japan,,ja,,,,16.142,,,,,14,14109,5339254072,14,14109,13,13101,
5443ec8437e7dbabed7be3ecadb0257da6918ef5206759b1c60ac12be4485f0222f4d617fd66bc959c079eb675078d90,2019,10,1,2,0,0,35.673584,139.739234,iOS,Japan,44051,Japan,,ja,,,,65,,,,,13,13101,5339450981,13,13120,13,13119,
959bf5f8dd1844a629fedc4c6bef8e290b4d0a2388cd4d8d8ee40face3216edb5219d4a341c0f895c33db7a833bb82f4,2019,10,1,2,0,0,35.646449,139.763497,Android,Japan,44051,Japan,,ja,,,,31.4,,,,,13,13103,5339367150,14,14116,13,13103,
9b02e21c0d34476b47b3dbf47d15eb85132eed749366f221dca67a52077c875ef2c82c4d225775adae65b758d6cb532c,2019,10,1,2,0,0,35.652346,139.810037,Android,Japan,44010,Japan,,ja,,,,13.43,,,,,13,13108,5339368428,13,13108,13,13104,
8f4371a2f0297f44bc2706b09b2092c0a81ed0f0b92e0191ddd043e06799b78f9139edef56d8cda30d8c612fc92d9fa4,2019,10,1,2,0,0,35.663834,139.899608,Android,Japan,44010,Japan,,ja,,,,13.444,,,119.054,2,12,12227,5339379169,12,12227,11,11107,
69310e61f263cca235f8f870e3a0a998288c007f3af790e6924c028745c9debe852f1b2333d333603d709850d0ed268c,2019,10,1,2,0,0,35.678715,139.992390,Android,Japan,44010,Japan,,ja,,,,15.57,,,,,12,12204,5339471943,12,12204,13,13103,
873677bdb56b90fd913b2de498a8dbf60108d798a06d5bb75bf8c2150d3a886e1b4aaeb467b403ae26f63d8a3c2f1c6c,2019,10,1,2,0,0,35.653199,140.057818,Android,Japan,44010,Japan,,ja,,,,15.282,,,97.65,2,12,12102,5340308436,12,12102,13,13102,
f233b44e429803991dc68cb9831626362fb617635932b62ff7e3713d03850ce15c1d4d4be48760ea23d5c6929597f166,2019,10,1,2,0,0,35.656819,139.775660,Android,Japan,44010,Japan,,ja,,,,14.818,,,99.865,2,13,13102,5339368280,13,13102,13,13102,
8f252553bbd798666bc198c649943bdae2d75cfac3e51db78c6a3cd4699a1e5502adfe20e76bb5831ebade32e45691f3,2019,10,1,2,0,0,35.813107,139.781145,Android,Japan,44051,Japan,,ja,,,,14.214,,,,,11,11221,5339567254,11,11221,13,13121,
803501b4ee27858960dafe20b8f900c43643fb3dfa73175f10362779886815563f7a8cb0810e5badb366239a87c4fd29,2019,10,1,2,0,0,35.361775,139.530325,Android,Japan,44010,Japan,,ja,,,,30.272,,,,,14,14115,5339043244,14,14115,13,13108,
f31cc436cda7894e0a7d5a715d20aa0da493a8b215436813c9ba3fa24073cca73c4d84fcf3bb7147517a6dd13265778f,2019,10,1,2,0,0,35.644955,139.876489,Android,Japan,44051,Japan,,ja,,,,18.576,,,142.849,2,13,13123,5339377031,13,13123,13,13108,
3f7b64097800c412afe271a20e41e25c9d45e3dbf890719c87adf9e967f6e17ba27306b4bd8748c839050d659766f3c1,2019,10,1,2,0,0,35.639030,140.041088,Android,Japan,44010,Japan,,ja,,,,16,,,0,2,12,12106,5340306362,12,12106,13,13102,
9187f830ea481b90d4f0267185a4dd8d484cfa5a19a1dc9c85364d11b6d309406300ee40c819c2202d91fb6af6262a16,2019,10,1,2,0,0,35.701551,139.455394,Android,Japan,44020,Japan,,ja,,,,14.871,,,0,2,13,13214,5339434614,13,13214,13,13108,
138eea0334a2b0981546e55d319180d535891ba6c7129e0eb99819aa6d5ef855c57a0323795ba5b23d947939a55382cd,2019,10,1,2,0,0,35.778961,139.935367,iOS,Japan,44050,Japan,,ja,,,,5,,,91.488,2,12,12207,5339573448,12,12224,13,13106,
d5fe0190b9a916a32a261a6caf014c4689fce535a2f2ab4ecefa69ba9f71161ef619baef2610f59b3a9065c5727679f7,2019,10,1,2,0,0,35.659737,139.781564,iOS,Japan,44010,Japan,,ja,,,,100,,,,,13,13102,5339369215,13,13102,40,40133,
052a347c6f5aad5f5329d23058ff33730e2fd48c69f90424e98e213b25894939d44ce413fef5f79dd216133a16fa5510,2019,10,1,2,0,0,35.731043,139.752401,Android,Japan,44051,Japan,,ja,,,,6.432,,,180,2,13,13105,5339467071,13,13105,13,13108,
bfac1effabc6ec6f2a69802648159baf562fba610a1bd5397c4bdc05df5386f3e9c0d45e5883303b07f82940aa6bad7e,2019,10,1,2,0,0,35.666763,139.808773,Android,Japan,44010,Japan,,ja,,,,17.632,,,33.023,2,13,13108,5339460407,13,13108,13,13108,
e00d61f874602d9232bcf05be77fe31403748f93cfe6d23f0f445c546e4cd9475ede57052d0e4d5f9fc45dc3d8e4451b,2019,10,1,2,0,0,35.828285,139.570921,Android,Japan,44010,Japan,,ja,,,,14.142,,,,,11,11228,5339549536,11,11228,13,13103,
a2dcba2c6a46e3b348686fb5e1ba1e996be10725438cea40816ff684f1db9cc4b333e8ae05173f09af7f03ca7c2641eb,2019,10,1,2,0,0,35.718610,139.824836,Android,Japan,44020,Japan,,ja,,,,17.562,,,312.51,2,13,13107,5339466529,13,13107,13,13121,
87390b445865d0c4617427679fcee74b2c7107d45741ebcdeef816ceb60c87bd1fd3bbd7f061c0db2aaac387acdf4c2e,2019,10,1,2,0,0,35.654641,139.776124,Android,Japan,44010,Japan,,ja,,,,28.34,,,,,13,13102,5339368250,13,13102,13,13101,
2323b00820e02d6c272a5a0728bf09d1a0a7aac5b5678ed4f5e7811aeb7ed750457721f9fc49eef149ef7449c361f5e9,2019,10,1,2,0,0,35.777589,139.686718,Android,Japan,44010,Japan,,ja,,,,5,0.278,2,240.785,2,13,13119,5339553439,13,13119,13,13108,
4a17cc581a8460e8971047c68463941a63219a57b98e5395e5940b1e6373c4de8e3282a86bf13d1aa663e1d7d38d956f,2019,10,1,2,0,0,35.661195,139.792829,Android,Japan,44051,Japan,,ja,,,,39.335,,,,,13,13108,5339369334,13,13108,13,13102,
e6fb98e83a7ad6d95d03ebd36548d27777bceeac35b3b348b7eb06b10770d3f80817fa9c8dc2c85a28f059ae7599dc0f,2019,10,1,2,0,0,35.653081,139.888331,Android,Japan,44010,Japan,,ja,,,,18.563,,,29.623,2,12,12227,5339378130,13,13203,13,13108,
1eb66973e14c74b2bac572ef4b8cd0fd7449528cbecb5a0086c01edeb5cfa456e3011ecd5c3be38a7e6e60637a6746d1,2019,10,1,2,0,0,35.681230,139.785094,Android,Japan,44051,Japan,,ja,,,,14.508,,,,,13,13102,5339461278,13,13102,13,13108,
621b4cb07c8f0763dd523798e1eb2eb8c3a85935fb019d0fba87ef819025f6069cd8258c6e2346056d09812b12d68644,2019,10,1,2,0,0,35.762638,139.606428,Android,Japan,44010,Japan,,ja,,,,18.784,,,350.909,2,13,13120,5339541855,13,13120,13,13108,
b21088b29a559d77354c3b137795b3631adc1327c7eb58e2d77d5b88b39c00ddd2779f02697abc07db73a82b24821f12,2019,10,1,2,0,0,35.694153,139.758599,iOS,Japan,44010,Japan,,ja,,,,65,1.442,2,196.73,2,13,13101,5339463026,13,13108,13,13101,
e269aea88a34e776ff8a2a8d2b39f0da07899e789ac5142b15c3b09a00d24ea203690fa7cf2b9cbb1b0988f4666df327,2019,10,1,2,0,0,35.647088,139.792870,Android,Japan,44010,Japan,,ja,,,,14.007,,,204.304,2,13,13108,5339367364,13,13108,13,13103,
e00d61f874602d9232bcf05be77fe31403748f93cfe6d23f0f445c546e4cd9475ede57052d0e4d5f9fc45dc3d8e4451b,2019,10,1,2,0,0,35.828285,139.570921,Android,Japan,44010,Japan,,ja,,,,14.142,0,2,,,11,11228,5339549536,11,11228,13,13103,
1e72c511228189b1f52864acd4947605a70c630c3266db238db7ac6be50ebc6fb80dbda2f120467ec25852ac2f6986a7,2019,10,1,2,0,0,35.653727,139.800981,Android,Japan,44020,Japan,,ja,,,,10012.39,,,,,13,13108,5339368440,13,13108,13,13102,
cd12aed835c0fd41b1a946b4af78fcec715a95a00bb0c94b9748dba4acd4c5f1270d249921c501ae6b0c099608e4f0aa,2019,10,1,2,0,0,35.843711,139.740735,Android,Japan,44010,Japan,,ja,,,,77.6,,,,,11,11203,5339651922,11,11203,13,13108,
aacd94f3b200e294ba11c55746faa509397193dbecd7d3a8572b3b1239be913080acabe99029ff49f7d1c7c8f01fcffd,2019,10,1,2,0,0,35.729369,139.596233,Android,Japan,44051,Japan,,ja,,,,15.157,0,2,,,13,13120,5339447756,13,13120,13,13102,
2666f47fcd79aad5611fef3a5fb14da9cee64ac2d73311b50effb0ea02017acf7d845c992e7ab7c236c1e02e9878765a,2019,10,1,2,0,0,35.704948,139.786326,Android,Japan,44010,Japan,,ja,,,,14.265,,,180,2,13,13106,5339464259,13,13106,14,14131,
6e4bb309cd1c2db0a549385ec663695f2f07056f29f40293e50ebc28574a9efcb268d8857ee6f8cc50540bd0ffaf0f10,2019,10,1,2,0,0,35.739472,139.675581,Android,Japan,44010,Japan,,ja,,,,14.315,,,214.128,2,13,13120,5339458470,13,13120,13,13108,
eb1c03719e27ed02bb513249479235f7b26fc69038d614559af4a3aae39baeffec931bbf2b2f80cacf91e9123aaa5dbf,2019,10,1,2,0,0,35.612984,139.730934,Android,Japan,44010,Japan,,ja,,,,15.045,1.219,2,30.316,2,13,13109,5339353854,13,13109,13,13201,
a43ec8b614e58691be5c4ccd6e9b0f59eb4f8e07375766c80e9b0f6eae327bfaaf5c8aeb0c900f4e2653c2d82cab699a,2019,10,1,2,0,0,35.767830,139.728022,Android,Japan,44020,Japan,,ja,,,,13.613,,,139.537,2,13,13117,5339552812,13,13117,13,13108,
379b0807b0db4ab205fbd3284b6a4f015a4d533c673e911f85e134d6a49c78457f092016a3ea26e77b8a8799f23a4355,2019,10,1,2,0,0,35.637449,139.752577,iOS,Japan,44010,Japan,JPY,ja,JP,background,departure,30,2.609,1,30.585,1,13,13103,5339366042,13,13107,13,13108,
ae9b86547a53bf512287ed1d6e5ccc5713ab5ffdf3006d77d75826953253cbcd5aea7cc52652bd9e0686bdc673ab69cf,2019,10,1,2,0,0,35.654820,139.800381,Android,Japan,44010,Japan,,ja,,,,22.083,,,,,13,13108,5339368450,13,13108,13,13103,
ea96a8e5dbd7aa43e0c1e947ff590ed6cc643b10ad83f9e3e5585338f25d02c42915fbfd3e34f58c32d86aa1cad87f84,2019,10,1,2,0,0,35.748642,139.548066,Android,Japan,44051,Japan,,ja,,,,14.06,,,146.309,2,13,13229,5339449388,13,13229,13,13108,
a600e7bef8b29bf49e10385169eb68527f1ceab43786a371a2ad826c9c72acc15e853829a06ed52b0419ab468306798e,2019,10,1,2,0,0,35.775133,139.688710,Android,Japan,44020,Japan,,ja,,,,16.9,,,71.565,2,13,13119,5339553500,13,13119,13,13108,
7cb12da9df711443e6a4831bd6e7b57bfbb5f84cc6449e0aebe7665b3c46e61575c6012ed88cf936d599a780f091fc8a,2019,10,1,2,0,0,35.660397,139.571836,Android,Japan,44020,Japan,,ja,,,,14.197,,,,,13,13208,5339349527,13,13208,13,13108,
